"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YIR025W",94.9499967228451,-0.0667557291524842,0.396863145289774,-0.168208436446629,0.866419304187585,0.947481198759377
"YIR042C",143.094729969804,0.205960539734676,0.291584035776699,0.706350535227535,0.479970173846756,0.720495291045826
"YIL075C",4899.46362365443,0.11818755054651,0.0792967033034357,1.49044721435965,0.136106685967034,0.355503777543016
"YIL068W-A",0.578767922048801,-1.35137970391015,3.98887915124838,-0.338786825238166,0.734770326915752,NA
"YIL063C",393.17388424073,0.272148082331923,0.188049572343503,1.44721457720096,0.147836835068745,0.372251023554395
"YIL018W",36451.091086784,-0.396254978020407,0.0677758946043468,-5.84654736516002,5.01880710527109e-09,1.52746303203903e-07
"YIL027C",366.210552627146,0.141208817167974,0.189082609689217,0.746810176779718,0.455178151719549,0.701903749107184
"YIL085C",1183.42293895567,-0.525544484923715,0.110928213272816,-4.73769899846122,2.16158555647941e-06,4.02155452368263e-05
"snR68",95.9103687289112,-0.31364944489409,0.343699011478811,-0.912570110529475,0.361468680233634,0.623413800218156
"YIL008W",308.899805129706,0.589354969150107,0.205660467529027,2.86566969447799,0.00416128179608191,0.0297614023729996
"YIL030W-A",0.84314121355332,1.93644629332855,3.62654105080118,0.533965083037113,0.593365691999638,NA
"YIL076W",1144.53664918906,0.384706757794745,0.115420078757854,3.33310080823842,0.000858838181558408,0.00803243900327557
"YIR036W-A",1.28695750451626,2.54063656287787,3.13255902405612,0.811041880892698,0.417341620128755,NA
"YIL029C",36.6073100413882,0.168773908737634,0.566940611213776,0.297692395639646,0.765937947842985,NA
"YIR023W",840.698355081642,0.0447661776090072,0.133677948631087,0.33488079423293,0.737715010431392,0.88709556762203
"tT(AGU)I1",13.7442245329505,-0.906190941717544,0.987406992521237,-0.917748151047303,0.35875073258435,NA
"YIL053W",14458.1597408685,-0.359603797469626,0.0633874737844998,-5.67310504741332,1.40232177619906e-08,3.81213686733724e-07
"YIL101C",197.288315716431,-0.334749856686553,0.253763187683663,-1.31914270049226,0.187121410054419,0.428931598978611
"YIL120W",444.036890009398,-0.407756636539,0.194487289897792,-2.09657215519475,0.0360314663291066,0.148038306267789
"YIL174W",0,NA,NA,NA,NA,NA
"YIL032C",29.625450520169,0.0707778715670673,0.633083022379839,0.111798720017802,0.910983002439854,NA
"YIL142C-A",0.123626699677085,-0.897129117647922,4.96951524951052,-0.18052648449691,0.856739264320605,NA
"YIL164C",129.338395551982,-0.306279247656576,0.297448068499295,-1.0296898184676,0.303155636586642,0.565513512619985
"YIL096C",208.214225514277,0.0745638972978895,0.253189363415845,0.294498537742377,0.768376980613456,0.901821129453228
"YIL160C",117.27642204252,0.295027112494958,0.35741781713646,0.825440418327882,0.409121596056814,0.663205803134754
"YIL134C-A",11.8569296033202,0.232227551553145,0.978888914179479,0.237235858113483,0.812473819453582,NA
"YIL062C",1014.3391024092,0.411518001945202,0.119460719985874,3.44479760371327,0.000571487136862471,0.00565841484602778
"YIL151C",934.783641242644,-0.172445688446098,0.124806767073498,-1.3817014292546,0.167063395373067,0.398179883233656
"YIL059C",4.36354177322075,-0.709596585037578,1.64717594391108,-0.430795864680188,0.666616806686089,NA
"YIR030C",89.4705608125222,-0.114748927599792,0.36869061747313,-0.311233652720101,0.755623001403897,0.896756071621789
"YIL083C",614.513293140682,0.0868744971764565,0.146942687788305,0.591213475702945,0.554377394720678,0.771277243628046
"YIL019W",422.205749855272,0.0823971751085293,0.185084988511613,0.445185618623844,0.65618561882396,0.838762814308902
"YIL020C-A",12.2591520062813,0.521659736425007,0.979158572272652,0.53276328390224,0.594197452816894,NA
"YIL099W",68.7069724833261,-0.0518680486866557,0.411311854336602,-0.126103947989325,0.899649642378278,0.957595934475284
"YIL093C",325.332365975446,0.253199126181331,0.197837366496112,1.27983469789216,0.200603277961219,0.446316391173153
"YIR024C",76.7673653312712,0.465671536509833,0.398284210927269,1.16919406728596,0.242325450919845,0.49817273316855
"YIL135C",572.361443997195,0.344044728538504,0.152091294730583,2.26209349554129,0.0236916273939279,0.110801495356154
"YIL020C",542.781821167692,-0.174645046907124,0.171965949112869,-1.01557923419187,0.309829797653602,0.573929710685659
"YIL023C",1232.30505536371,0.0508878010059544,0.111059135368113,0.458204548750387,0.646805492187505,0.832477765168934
"YIL177W-A",0,NA,NA,NA,NA,NA
"YIL037C",151.102268208717,-0.232906997317831,0.276940214288183,-0.841001000582272,0.400347373872963,0.654965028831023
"YIL142W",2655.7891337218,0.0286028935397661,0.0954896026204695,0.299539350409179,0.764528552171982,0.900012590322282
"YIR041W",0.247253399354171,0.148691514010774,4.87761167704053,0.0304844919718972,0.97568066124751,NA
"YIL034C",1426.39039759689,-0.263082377925758,0.105616310448776,-2.49092566108295,0.0127410774907616,0.0701573588478517
"YIL073C",360.048199731063,0.00762541795636251,0.193540608775383,0.0393995761644644,0.968571817820356,0.985644590186079
"YIL091C",1073.57458051158,0.145202137521804,0.115743503818387,1.25451651912699,0.209654325302569,0.458563668768848
"YIL078W",9712.30315258367,-0.109740573331711,0.0617882844628828,-1.77607412611745,0.0757207002150898,0.245960511139503
"YIL052C",6252.49812910353,-0.0127822472542492,0.0689305374280436,-0.185436640002881,0.852886572173412,0.942657766674571
"YIR017C",0.38510251081082,0.812531519023939,4.84361822705486,0.167753006313628,0.866777594002304,NA
"YIL125W",3509.00137762485,-0.15756179658074,0.077253656255158,-2.03953837550854,0.0413963252666602,0.163138227651863
"YIL154C",439.582333222852,0.272852675178946,0.173286239541564,1.57457785396457,0.115353917987933,0.322160545276833
"PWR1",0,NA,NA,NA,NA,NA
"YIL138C",841.529114067902,0.520658252344251,0.133498174745877,3.90011513891751,9.61469523528227e-05,0.00121815143252445
"YIL130W",1165.59078828154,-0.119030204718965,0.115815552858672,-1.0277566508206,0.304064312149616,0.566265430009262
"YIL071W-A",16.1830149243427,0.978192699311947,0.90055437347612,1.08621170261618,0.277385340953554,NA
"YIL043C",5559.44767690782,-0.230359706798814,0.0810540619138436,-2.84205012505943,0.00448244434572466,0.0312988632619178
"YIR013C",41.9304526355234,0.315835464447768,0.536450819865052,0.588750082490728,0.556028936043221,NA
"YIL055C",114.394752893058,0.46595020594767,0.32681778186604,1.42571864752041,0.15394957163967,0.381805846404851
"YIL014C-A",156.507439976225,-0.0351592295739535,0.281001539648546,-0.125121127869719,0.900427657114422,0.957719825230914
"YIL049W",424.480632430372,0.29710585520554,0.205898166666872,1.44297474822219,0.149027584762643,0.374239674740271
"YIL162W",2773.31066340604,-0.121397604031112,0.0840342316870307,-1.44462085978526,0.148564410260472,0.373411444101724
"YIL104C",297.127047907071,-0.0374968619331489,0.202152862945112,-0.185487662093264,0.852846556579488,0.942657766674571
"YIL077C",216.565095751142,-0.0376086360692196,0.236082827908353,-0.159302717620018,0.873430379750848,0.948547513918562
"YIR032C",54.7270506783414,0.761181628493243,0.510899792529663,1.48988439538082,0.136254635267004,0.355557296130112
"YIL007C",61.0938675713897,0.34472936832,0.442866806124971,0.778404169272334,0.436330781644315,0.687823008157029
"YIL021W",348.431029604717,0.0301374783145309,0.193721828821953,0.155570895122149,0.876371267899537,0.949628308869467
"YIR020C",0,NA,NA,NA,NA,NA
"YIL038C",1188.38726148985,0.121053416485779,0.115312955531165,1.04978157855873,0.293818546644415,0.555636349834372
"YIR011C",531.745843944101,0.443618422788034,0.157268185247109,2.82077663763332,0.0047907547072691,0.0330229803664019
"YIL046W",738.926811438258,0.131899786704723,0.135696688917035,0.972019197796103,0.331040997970269,0.5949527571678
"YIL157C",462.535024444765,-0.316789549679342,0.184838841144341,-1.71386894506637,0.086552797631353,0.268916775045018
"YIL171W-A",0,NA,NA,NA,NA,NA
"YIL121W",425.609437717803,-1.03777491407999,0.179507930590779,-5.78122042109544,7.41606463535294e-09,2.15911637159789e-07
"YIL170W",71.0281278997397,0.42041143090347,0.425427046554111,0.988210397784376,0.323049616914975,0.58736293984541
